,Athlete,Nationality,Result,10m,20m,30m,40m,50m,60m,70m,80m,90m,100m,110m,120m,130m,140m,150m,160m,170m,180m,190m,Finish
0,Kenneth Bednarek,USA,19.67,1.97,3.03,3.96,4.87,5.75,6.63,7.51,8.41,9.31,10.22,11.12,12.03,12.94,13.86,14.79,15.73,16.69,17.66,18.65,19.67
1,Courtney Lindsey,USA,20.01,1.93,2.99,3.94,4.86,5.75,6.65,7.55,8.46,9.37,10.31,11.24,12.17,13.1,14.05,15.0,15.96,16.94,17.94,18.96,20.01
2,Kyree King,USA,20.21,1.94,3.0,3.96,4.88,5.79,6.71,7.62,8.55,9.48,10.42,11.38,12.3,13.25,14.19,15.16,16.13,17.13,18.13,19.16,20.21
3,Joseph Fahnbulleh,LBR,20.26,2.06,3.17,4.16,5.09,6.01,6.93,7.85,8.79,9.72,10.66,11.61,12.55,13.49,14.42,15.36,16.31,17.27,18.24,19.23,20.26
4,Aaron Brown,CAN,20.29,1.89,2.96,3.92,4.86,5.78,6.7,7.62,8.55,9.48,10.43,11.37,12.31,13.27,14.23,15.2,16.19,17.19,18.2,19.24,20.29
5,Joshua Hartmann,GER,20.36,1.94,3.02,3.97,4.89,5.8,6.71,7.62,8.56,9.49,10.43,11.39,12.32,13.29,14.25,15.22,16.21,17.23,18.25,19.29,20.36
6,Andrew Hudson,JAM,20.53,1.95,3.0,3.98,4.93,5.87,6.8,7.73,8.67,9.63,10.59,11.54,12.51,13.46,14.42,15.39,16.37,17.37,18.38,19.42,20.53
7,JÃ¡n Volko,SVK,21.23,1.99,3.06,4.07,5.02,5.97,6.94,7.91,8.9,9.89,10.9,11.91,12.92,13.92,14.92,15.93,16.96,18.0,19.06,20.13,21.23
8,Kenneth Bednarek,USA,19.89,1.99,3.06,4.01,4.93,5.82,6.72,7.62,8.52,9.42,10.33,11.24,12.17,13.11,14.04,14.98,15.93,16.89,17.87,18.87,19.89
9,Courtney Lindsey,USA,20.09,1.96,3.04,4.01,4.94,5.84,6.73,7.64,8.53,9.45,10.36,11.28,12.22,13.16,14.1,15.06,16.02,17.01,18.01,19.03,20.09
10,Kyree King,USA,20.15,2.0,3.05,4.01,4.93,5.84,6.76,7.67,8.52,9.49,10.41,11.34,12.28,13.23,14.17,15.13,16.09,17.08,18.08,19.11,20.15
11,Joseph Fahnbulleh,LBR,20.16,2.07,3.16,4.14,5.07,5.98,6.89,7.78,8.71,9.64,10.56,11.5,12.44,13.37,14.3,15.24,16.19,17.14,18.12,19.12,20.16
12,Alexander Ogando,DOM,20.27,2.06,3.16,4.14,5.08,6.0,6.91,7.82,8.73,9.65,10.57,11.5,12.44,13.37,14.31,15.25,16.21,17.19,18.18,19.2,20.27
13,Aaron Brown,CAN,20.47,1.91,3.0,3.97,4.93,5.86,6.79,7.72,8.66,9.59,10.53,11.47,12.44,13.41,14.37,15.35,16.33,17.34,18.36,19.4,20.47
14,Jeremiah Curry,USA,20.69,2.05,3.12,4.1,5.04,5.95,6.87,7.77,8.68,9.6,10.53,11.47,12.42,13.38,14.35,15.34,16.35,17.39,18.45,19.54,20.69
15,Brandon Carnes,USA,20.83,1.93,3.03,4.03,4.98,5.92,6.87,7.81,8.77,9.73,10.7,11.67,12.66,13.64,14.62,15.6,16.61,17.63,18.67,19.73,20.83
16,lan Kerr,BAH,20.87,2.01,3.11,4.11,5.07,6.01,6.95,7.89,8.83,9.78,10.74,11.72,12.7,13.68,14.66,15.66,16.66,17.67,18.71,19.78,20.87
17,Alexander Ogando,DOM,19.98,2.01,3.09,4.08,5.02,5.92,6.81,7.7,8.58,9.47,10.37,11.3,12.24,13.17,14.1,15.05,16.0,16.96,17.94,18.95,19.98
18,Tarsis Gracious Orogot,UGA,20.18,2.01,3.09,4.08,5.01,5.9,6.81,7.7,8.6,9.51,10.42,11.36,12.31,13.25,14.21,15.17,16.13,17.12,18.12,19.13,20.46
19,Filippo Tortu,ITA,20.53,1.99,3.07,4.04,4.99,5.91,6.83,7.74,8.65,9.58,10.52,11.48,12.45,13.42,14.39,15.37,16.37,17.38,18.4,19.45,20.53
20,Jerome Blake,CAN,20.82,1.98,3.09,4.09,5.05,5.99,6.93,7.87,8.82,9.77,10.74,11.73,12.72,13.7,14.68,15.66,16.66,17.66,18.69,19.74,20.82
21,William Reais,SUI,20.89,2.04,3.14,4.13,5.09,6.04,6.98,7.94,8.89,9.82,10.78,11.76,12.74,13.71,14.69,15.67,16.67,17.69,18.73,19.79,20.24
22,Letsile Tebogo,BOT,19.87,2.0,3.08,4.05,4.99,5.9,6.79,7.68,8.57,9.47,10.37,11.28,12.19,13.11,14.03,14.96,15.89,16.84,17.81,18.81,19.87
23,Alexander Ogando,DOM,20.02,2.03,3.11,4.07,5.0,5.91,6.79,7.69,8.59,9.48,10.39,11.29,12.21,13.14,14.07,15.02,15.97,16.95,17.94,18.96,20.02
24,Tarsis Gracious Orogot,UGA,20.32,2.05,3.13,4.11,5.05,5.96,6.86,7.78,8.68,9.6,10.52,11.45,12.39,13.34,14.3,15.28,16.27,17.26,18.27,19.29,20.32
25,Andrew Hudson,JAM,20.43,1.95,3.01,3.97,4.91,5.81,6.72,7.63,8.53,9.45,10.36,11.29,12.24,13.19,14.16,15.15,16.16,17.18,18.24,19.31,20.43
26,Filippo Tortu,ITA,20.43,2.01,3.1,4.07,5.02,5.94,6.84,7.76,8.68,9.6,10.53,11.47,12.41,13.37,14.33,15.31,16.3,17.3,18.33,19.37,20.43
27,Joshua Hartmann,GER,20.54,1.98,3.06,4.03,4.96,5.88,6.79,7.7,8.64,9.58,10.52,11.47,12.44,13.42,14.4,15.39,16.38,17.39,18.43,19.49,20.54
28,William Reais,SUI,20.99,2.01,3.11,4.08,5.03,5.98,6.92,7.86,8.8,9.76,10.71,11.68,12.66,13.64,14.63,15.64,16.67,17.71,18.77,19.86,20.99
29,Letsile Tebogo,BOT,19.64,1.9,2.96,3.94,4.86,5.77,6.67,7.56,8.46,9.37,10.27,11.18,12.09,13.0,13.91,14.83,15.75,16.69,17.64,18.61,19.64
30,Erriyon Knighton,USA,19.78,1.95,3.01,3.96,4.88,5.77,6.64,7.51,8.4,9.31,10.21,11.12,12.04,12.97,13.88,14.82,15.76,16.72,17.7,18.71,19.78
31,Fred Kerley,USA,19.86,1.91,2.98,3.95,4.88,5.82,6.74,7.65,8.58,9.5,10.42,11.33,12.25,13.17,14.09,15.01,15.94,16.89,17.85,18.84,19.86
32,Alexander Ogando,DOM,19.94,1.98,3.07,4.07,5.01,5.93,6.83,7.72,8.62,9.53,10.43,11.33,12.24,13.16,14.08,15.0,15.95,16.9,17.88,18.89,19.94
33,Jereem Richards,TTO,20.1,1.93,3.02,4.0,4.95,5.87,6.78,7.69,8.6,9.52,10.44,11.38,12.32,13.26,14.2,15.14,16.1,17.08,18.07,19.07,20.1
34,Joseph Fahnbulleh,LBR,20.18,2.03,3.14,4.13,5.06,5.97,6.86,7.77,8.68,9.61,10.53,11.45,12.4,13.34,14.27,15.21,16.16,17.13,18.11,19.12,20.18
35,William Reais,SUI,20.75,1.97,3.06,4.05,5.01,5.94,6.86,7.79,8.71,9.66,10.61,11.59,12.57,13.55,14.53,15.51,16.51,17.53,18.57,19.64,20.75
36,Letsile Tebogo,BOT,19.83,1.98,3.07,4.06,5.02,5.96,6.86,7.76,8.66,9.57,10.48,11.39,12.3,13.22,14.13,15.04,15.97,16.91,17.85,18.82,19.83
37,Kenneth Bednarek,USA,20.0,1.99,3.06,4.03,4.95,5.86,6.75,7.63,8.53,9.43,10.36,11.29,12.21,13.12,14.05,14.98,15.93,16.9,17.88,18.89,20.0
38,Erriyon Knighton,USA,20.07,2.07,3.15,4.13,5.07,5.98,6.89,7.78,8.67,9.58,10.49,11.43,12.36,13.27,14.2,15.13,16.07,17.03,18.0,19.01,20.07
39,Kyree King,USA,20.27,1.97,3.05,4.03,4.96,5.87,6.78,7.68,8.58,9.5,10.43,11.38,12.32,13.26,14.2,15.16,16.14,17.13,18.14,19.18,20.27
40,Joseph Fahnbulleh,LBR,20.39,2.07,3.18,4.2,5.16,6.11,7.04,7.95,8.87,9.8,10.74,11.7,12.64,13.59,14.52,15.47,16.41,17.38,18.36,19.35,20.39
41,Eseosa Fostine Desalu,ITA,20.62,2.1,3.2,4.18,5.15,6.09,7.02,7.94,8.87,9.81,10.75,11.69,12.65,13.58,14.54,15.5,16.48,17.48,18.5,19.54,20.62
42,Albert Komanski,POL,21.07,2.03,3.15,4.18,5.16,6.13,7.09,8.05,9.01,9.98,10.97,11.96,12.97,13.96,14.95,15.95,16.95,17.95,18.97,20.0,21.07
43,Letsile Tebogo,BOT,19.55,1.94,3.02,3.99,4.93,5.83,6.72,7.61,8.5,9.4,10.3,11.2,12.11,13.02,13.94,14.84,15.77,16.69,17.63,18.59,19.55
44,Erriyon Knighton,USA,19.79,1.98,3.04,4.0,4.92,5.8,6.68,7.56,8.45,9.36,10.26,11.16,12.07,12.99,13.92,14.85,15.79,16.75,17.74,18.75,19.79
45,Fred Kerley,USA,19.81,1.99,3.06,4.03,4.95,5.86,6.75,7.64,8.54,9.45,10.36,11.27,12.19,13.12,14.04,14.97,15.91,16.86,17.83,18.82,19.81
46,Alexander Ogando,DOM,19.87,2.04,3.11,4.09,5.02,5.92,6.8,7.69,8.57,9.46,10.36,11.25,12.17,13.09,14.0,14.93,15.87,16.84,17.82,18.84,19.87
47,Courtney Lindsey,USA,20.17,1.97,3.02,3.96,4.87,5.76,6.64,7.52,8.42,9.34,10.26,11.18,12.12,13.06,14.03,15.0,15.99,16.99,18.02,19.08,20.17
48,Joseph Fahnbulleh,LBR,20.52,2.06,3.17,4.15,5.08,6.0,6.9,7.81,8.73,9.66,10.61,11.57,12.52,13.49,14.45,15.42,16.39,17.38,18.41,19.45,20.52
49,Kenneth Bednarek,USA,19.67,1.93,3.0,3.94,4.85,5.75,6.64,7.53,8.43,9.33,10.23,11.14,12.04,12.96,13.89,14.82,15.76,16.7,17.67,18.65,19.67
50,Letsile Tebogo,BOT,19.8,1.91,2.97,3.95,4.88,5.79,6.69,7.59,8.49,9.4,10.3,11.2,12.1,13.02,13.94,14.87,15.81,16.76,17.74,18.74,19.8
51,Alexander Ogando,DOM,19.97,1.98,3.07,4.06,5.01,5.94,6.85,7.76,8.66,9.56,10.47,11.38,12.29,13.21,14.14,15.07,16.01,16.97,17.94,18.94,19.97
52,Courtney Lindsey,USA,20.21,1.99,3.05,4.02,4.96,5.88,6.78,7.68,8.59,9.5,10.43,11.36,12.28,13.23,14.18,15.13,16.11,17.1,18.11,19.14,20.21
53,Fred Kerley,USA,20.21,1.92,3.04,4.04,5.0,5.94,6.86,7.78,8.7,9.64,10.57,11.51,12.46,13.42,14.36,15.31,16.26,17.22,18.19,19.18,20.21
54,Kyree King,USA,20.45,1.96,3.03,3.99,4.93,5.85,6.76,7.69,8.61,9.55,10.48,11.44,12.4,13.36,14.34,15.31,16.3,17.3,18.32,19.36,20.45
55,Joseph Fahnbulleh,LBR,20.53,2.0,3.09,4.1,5.05,5.98,6.91,7.84,8.77,9.72,10.66,11.61,12.56,13.53,14.49,15.46,16.45,17.43,18.43,19.45,20.53
56,Letsile Tebogo,BOT,20.1,1.85,2.93,3.92,4.87,5.79,6.7,7.61,8.52,9.45,10.37,11.29,12.21,13.14,14.08,15.03,15.99,16.96,17.95,18.96,20.1
57,Courtney Lindsey,USA,20.11,1.94,3.0,3.98,4.92,5.82,6.74,7.64,8.55,9.46,10.38,11.3,12.23,13.17,14.11,15.06,16.03,17.02,18.02,19.04,20.11
58,Joseph Fahnbulleh,LBR,20.26,1.96,3.05,4.05,4.98,5.9,6.81,7.72,8.64,9.58,10.52,11.46,12.39,13.32,14.26,15.21,16.17,17.15,18.14,19.14,20.26
59,Aaron Brown,CAN,20.35,1.86,2.95,3.94,4.89,5.82,6.74,7.67,8.6,9.53,10.48,11.41,12.35,13.3,14.25,15.21,16.2,17.2,18.22,19.24,20.35
60,Kyree King,USA,20.61,1.86,2.94,3.92,4.86,5.78,6.69,7.61,8.53,9.47,10.41,11.36,12.32,13.27,14.23,15.22,16.24,17.26,18.3,19.37,20.61
61,William Reais,SUI,20.93,1.96,3.05,4.03,4.98,5.93,6.86,7.81,8.76,9.71,10.68,11.65,12.62,13.58,14.55,15.54,16.55,17.59,18.64,19.74,20.93
